Time (s);Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run1;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run2;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run3;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run4;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run5;Fᵧ (N) --sensor: Force --remote: 1 --Run1;Fᵧ (N) --sensor: Force --remote: 1 --Run2;Fᵧ (N) --sensor: Force --remote: 1 --Run3;Fᵧ (N) --sensor: Force --remote: 1 --Run4;Fᵧ (N) --sensor: Force --remote: 1 --Run5
1.0100000000;-10.4160128074;-9.8540260883;-9.7313012100;-9.7870029148;-11.7664253031;-2.2072705604;-2.7520639607;-2.2825511030;-2.6391431468;-2.4014151176
1.0200000000;-10.3508829072;-9.8554884691;-9.7221564192;-9.7655180061;-11.7688126543;-2.1914220251;-2.7540261586;-2.2825511030;-2.6411053447;-2.4093393852
1.0300000000;-10.2852418389;-9.8555191812;-9.7054102998;-9.7580683475;-11.7629978585;-2.1775545567;-2.7560074036;-2.2825511030;-2.6411242137;-2.4152825860
1.0400000000;-10.2228201844;-9.8576489188;-9.6789184597;-9.7547071147;-11.7474457025;-2.1636870884;-2.7540635439;-2.2845321699;-2.6411242137;-2.4172636529
1.0500000000;-10.1561296716;-9.8965635532;-9.6566342048;-9.7519790904;-11.7242556743;-2.1498196200;-2.7520823055;-2.2845321699;-2.6411242137;-2.4172636529
1.0600000000;-10.0850986634;-10.0224553365;-9.6478281680;-9.7566554486;-11.6955988787;-2.1339710847;-2.7520639607;-2.2865132368;-2.6411242137;-2.4133015191
1.0700000000;-10.0091896272;-10.2474447352;-9.6375350799;-9.7694581842;-11.6593847298;-2.1201036164;-2.7481378493;-2.2884943037;-2.6391611580;-2.4093393852
1.0800000000;-9.9289351534;-10.4800994843;-9.6256142918;-9.7977950625;-11.6171718508;-2.1062361480;-2.7441753909;-2.2884943037;-2.6391431468;-2.4053772514
1.0900000000;-9.8411144067;-10.7347091515;-9.6088399818;-9.8307789387;-11.5673912478;-2.0903876127;-2.7402129383;-2.2904753706;-2.6391431468;-2.3974529838
1.1000000000;-9.7451601432;-11.0195613004;-9.5898709831;-9.8580663265;-11.5094806899;-2.0745390774;-2.7362504913;-2.2924564375;-2.6391431468;-2.3855665823
1.1100000000;-9.6475201838;-11.3262722927;-9.5800239281;-9.8735706529;-11.4428975049;-2.0606716090;-2.7283606743;-2.2944375045;-2.6391431468;-2.3716991140
1.1200000000;-9.5471771303;-11.6568208382;-9.5750983856;-9.8707921577;-11.3612346243;-2.0448230738;-2.7184719632;-2.2964185714;-2.6391431468;-2.3558505787
1.1300000000;-9.4403567517;-11.9872505073;-9.5885010572;-9.8611923108;-11.2686435972;-2.0309556054;-2.7085658859;-2.2983996383;-2.6391431468;-2.3400020434
1.1400000000;-9.3329420537;-12.2728739576;-9.6074425613;-9.8519543484;-11.1636001293;-2.0170881370;-2.6966956879;-2.3023617721;-2.6391431468;-2.3201913743
1.1500000000;-9.2222955061;-12.4606454988;-9.6258929264;-9.8427302137;-11.0455428795;-2.0032206686;-2.6808798713;-2.3043428390;-2.6411074238;-2.3003807052
1.1600000000;-9.1083937330;-12.5267190528;-9.6556350177;-9.8292738762;-10.9101951447;-1.9873721334;-2.6630657890;-2.3063239059;-2.6411242137;-2.2785889692
1.1700000000;-9.0036098483;-12.5565958524;-9.6962328462;-9.8098885290;-10.7574834719;-1.9715235981;-2.6452349380;-2.3083049728;-2.6430887706;-2.2528350993
1.1800000000;-8.9096635574;-12.5218633258;-9.7525237635;-9.7892967698;-10.5900759110;-1.9576561297;-2.6215100276;-2.3102860397;-2.6431052807;-2.2251001626
1.1900000000;-8.8254924269;-12.4145442799;-9.8256248187;-9.7792654915;-10.4144216854;-1.9457697282;-2.5938059588;-2.3142481736;-2.6431052807;-2.1993462928
1.2000000000;-8.7505493081;-12.2435870668;-9.9026312855;-9.7795586629;-10.2295609913;-1.9358643937;-2.5641042139;-2.3182103074;-2.6431052807;-2.1716113560
1.2100000000;-8.6918250760;-12.0139474997;-9.9812831185;-9.7922812069;-10.0418817049;-1.9279401261;-2.5324211720;-2.3221724412;-2.6431052807;-2.1418953524
1.2200000000;-8.6488393443;-11.7561359324;-10.0416512738;-9.8047735548;-9.8509558277;-1.9200158584;-2.4967916213;-2.3241535081;-2.6431052807;-2.1101982818
1.2300000000;-8.6194349463;-11.4936106552;-10.0851871433;-9.8172529473;-9.6626479377;-1.9140726577;-2.4571994661;-2.3261345750;-2.6450706238;-2.0804822781
1.2400000000;-8.6111292841;-11.2331530150;-10.1081364324;-9.8260232564;-9.4722474561;-1.9081294570;-2.4175756514;-2.3300967088;-2.6431208806;-2.0507662745
1.2500000000;-8.6250595440;-10.9855477406;-10.1126217969;-9.8362944070;-9.2850175848;-1.9061483900;-2.3759862866;-2.3320777757;-2.6431052807;-2.0210502708
1.2600000000;-8.6542366774;-10.7461584121;-10.1078112149;-9.8460733272;-9.1069192255;-1.9061483900;-2.3324156526;-2.3340588427;-2.6411395718;-1.9933153341
1.2700000000;-8.6921454016;-10.5186480707;-10.0867793169;-9.8462969852;-8.9391139680;-1.9061483900;-2.2888295812;-2.3360399096;-2.6411242137;-1.9675614643
1.2800000000;-8.7392731734;-10.2966643828;-10.0553927968;-9.8367526007;-8.7821528344;-1.9061483900;-2.2452435495;-2.3380209765;-2.6411242137;-1.9398265275
1.2900000000;-8.7913171968;-10.0811757951;-10.0158514317;-9.8190312538;-8.6349754605;-1.9061483900;-2.2016575566;-2.3400020434;-2.6411242137;-1.9140726577
1.3000000000;-8.8460904621;-9.8700612941;-9.9730175628;-9.7990046738;-8.4980996084;-1.9081294570;-2.1561054308;-2.3419831103;-2.6411242137;-1.8883187879
1.3100000000;-8.9019610977;-9.6536679680;-9.9398508738;-9.7821126361;-8.3768778854;-1.9101105239;-2.1105383348;-2.3439641772;-2.6411242137;-1.8665270518
1.3200000000;-8.9583783084;-9.4307799747;-9.9175269053;-9.7695377897;-8.2655122555;-1.9160537246;-2.0669376682;-2.3459452441;-2.6391578222;-1.8447353158
1.3300000000;-9.0099530843;-9.2024502661;-9.9071307742;-9.7628962789;-8.1703283350;-1.9239779922;-2.0213853225;-2.3479263110;-2.6391431468;-1.8249246467
1.3400000000;-9.0582605187;-8.9719026506;-9.8995156717;-9.7648778275;-8.0930263532;-1.9299211930;-1.9777849434;-2.3499073779;-2.6391431468;-1.8070950445
1.3500000000;-9.1011584724;-8.7402543535;-9.8849193588;-9.7734183591;-8.0293527535;-1.9378454606;-1.9341991658;-2.3499073779;-2.6391431468;-1.7912465092
1.3600000000;-9.1397081608;-8.5032433601;-9.8681172614;-9.7900634655;-7.9771051839;-1.9477507952;-1.8906134213;-2.3518884449;-2.6391431468;-1.7753979740
1.3700000000;-9.1782263705;-8.2629459301;-9.8496836303;-9.8068829320;-7.9319738479;-1.9576561297;-1.8470277092;-2.3518884449;-2.6391431468;-1.7615305056
1.3800000000;-9.2194377249;-8.0172539324;-9.8344701111;-9.8252956623;-7.8992446707;-1.9695425312;-1.8034420290;-2.3518884449;-2.6391431468;-1.7516251710
1.3900000000;-9.2595911019;-7.7757644762;-9.8257437926;-9.8405556700;-7.8768555269;-1.9814289326;-1.7637906100;-2.3499073779;-2.6391431468;-1.7456819703
1.4000000000;-9.3040462625;-7.5450354196;-9.8138315212;-9.8499035285;-7.8588911746;-1.9952964010;-1.7261345329;-2.3499073779;-2.6391431468;-1.7397387696
1.4100000000;-9.3539191035;-7.3267634045;-9.8013576202;-9.8522196946;-7.8500825306;-2.0071828025;-1.6904597422;-2.3499073779;-2.6391431468;-1.7357766358
1.4200000000;-9.4129884403;-7.1236463898;-9.7921123780;-9.8517328790;-7.8510328992;-2.0210502708;-1.6587336372;-2.3499073779;-2.6391431468;-1.7337955689
1.4300000000;-9.4791257465;-6.9314411807;-9.7850448116;-9.8527847750;-7.8606795761;-2.0349177392;-1.6290025665;-2.3499073779;-2.6391431468;-1.7337955689
1.4400000000;-9.5550098974;-6.7629314795;-9.7866128809;-9.8565276778;-7.8800778629;-2.0507662745;-1.6032203573;-2.3518884449;-2.6391431468;-1.7357766358
1.4500000000;-9.6455089312;-6.6204363585;-9.7925509343;-9.8725530759;-7.9092425875;-2.0646337429;-1.5814006650;-2.3518884449;-2.6371754661;-1.7417198365
1.4600000000;-9.7495785816;-6.5061262375;-9.8012127138;-9.9388097682;-7.9519204532;-2.0824633451;-1.5635434818;-2.3518884449;-2.6371620799;-1.7496441041
1.4700000000;-9.8645171169;-6.4248480048;-9.8077373545;-10.1092504699;-8.0070921402;-2.0983118803;-1.5516166593;-2.3518884449;-2.6371620799;-1.7575683718
1.4800000000;-9.9881506334;-6.3745257078;-9.8093974231;-10.4147430048;-8.0752783846;-2.1141604156;-1.5416976797;-2.3538695118;-2.6332261866;-1.7674737063
1.4900000000;-10.1161532494;-6.3572718644;-9.8137195053;-10.7282312233;-8.1586279376;-2.1300089509;-1.5376960125;-2.3538695118;-2.6292638801;-1.7793601078
