Time (s);Fᵧ (N)
2.6000000000;-0.8026941210
2.6100000000;-0.6957165079
2.6200000000;-0.5174204860
2.6300000000;-0.4995908838
2.6400000000;-0.5352500881
2.6500000000;-0.5530796903
2.6600000000;-0.5530796903
2.6700000000;-0.5709092925
2.6800000000;-0.5530796903
2.6900000000;-0.5352500881
2.7000000000;-0.5352500881
2.7100000000;-0.5352500881
2.7200000000;-0.4995908838
2.7300000000;-0.4995908838
2.7400000000;-0.5174204860
2.7500000000;-0.5352500881
2.7600000000;-0.5530796903
2.7700000000;-0.5352500881
2.7800000000;-0.5352500881
2.7900000000;-0.5352500881
2.8000000000;-0.5352500881
2.8100000000;-0.5352500881
2.8200000000;-0.5174204860
2.8300000000;-0.5174204860
2.8400000000;-0.5174204860
2.8500000000;-0.5174204860
2.8600000000;-0.5174204860
2.8700000000;-0.5174204860
2.8800000000;-0.5174204860
2.8900000000;-0.4995908838
2.9000000000;-0.4995908838
2.9100000000;-0.4817612816
2.9200000000;-0.4817612816
2.9300000000;-0.4817612816
2.9400000000;-0.4639316794
2.9500000000;-0.4639316794
2.9600000000;-0.4639316794
2.9700000000;-0.4639316794
2.9800000000;-0.4817612816
2.9900000000;-0.4995908838
3.0000000000;-0.4817612816
3.0100000000;-0.4461020772
3.0200000000;-0.4639316794
3.0300000000;-0.4639316794
3.0400000000;-0.4639316794
3.0500000000;-0.4639316794
3.0600000000;-0.4817612816
3.0700000000;-0.4817612816
3.0800000000;-0.4817612816
3.0900000000;-0.4995908838
3.1000000000;-0.4995908838
3.1100000000;-0.4995908838
3.1200000000;-0.4995908838
3.1300000000;-0.4995908838
3.1400000000;-0.4995908838
3.1500000000;-0.5174204860
3.1600000000;-0.5174204860
3.1700000000;-0.5352500881
3.1800000000;-0.5174204860
3.1900000000;-0.5174204860
3.2000000000;-0.5352500881
3.2100000000;-0.5174204860
3.2200000000;-0.5174204860
3.2300000000;-0.5174204860
3.2400000000;-0.5352500881
3.2500000000;-0.5174204860
3.2600000000;-0.5174204860
3.2700000000;-0.5352500881
3.2800000000;-0.5174204860
3.2900000000;-0.5174204860
3.3000000000;-0.5352500881
3.3100000000;-0.5174204860
3.3200000000;-0.5174204860
3.3300000000;-0.5174204860
3.3400000000;-0.5174204860
3.3500000000;-0.4995908838
3.3600000000;-0.4817612816
3.3700000000;-0.4817612816
3.3800000000;-0.4817612816
3.3900000000;-0.4995908838
3.4000000000;-0.4817612816
3.4100000000;-0.5174204860
3.4200000000;-0.5174204860
3.4300000000;-0.4995908838
3.4400000000;-0.4995908838
3.4500000000;-0.4995908838
3.4600000000;-0.4817612816
3.4700000000;-0.4817612816
3.4800000000;-0.4995908838
3.4900000000;-0.5174204860
3.5000000000;-0.4995908838
3.5100000000;-0.4817612816
3.5200000000;-0.4817612816
3.5300000000;-0.4817612816
3.5400000000;-0.4995908838
3.5500000000;-0.4995908838
3.5600000000;-0.5174204860
3.5700000000;-0.5174204860
3.5800000000;-0.4995908838
3.5900000000;-0.4995908838
3.6000000000;-0.5174204860
3.6100000000;-0.5174204860
3.6200000000;-0.5174204860
3.6300000000;-0.5174204860
