Time (s);Fᵧ (N) --sensor: Force --remote: 1 --Run1;Fᵧ (N) --sensor: Force --remote: 1 --Run2;Fᵧ (N) --sensor: Force --remote: 1 --Run3
1.1700840336;-0.4817612816;-0.4817612816;-0.4995908838
1.1800833333;-0.4817612816;-0.4817612816;-0.4995908838
1.1900826446;-0.4817612816;-0.4817612816;-0.4994447395
1.2000819672;-0.4817612816;-0.4817612816;-0.4817612816
1.2100813008;-0.4817612816;-0.4817612816;-0.4817612816
1.2200806452;-0.4817612816;-0.4817612816;-0.4817612816
1.2300800000;-0.4817612816;-0.4817612816;-0.4819027864
1.2400793651;-0.4819016721;-0.4817612816;-0.4995908838
1.2500787402;-0.4994515900;-0.4817612816;-0.4994515900
1.2600781250;-0.4817612816;-0.4817612816;-0.4817612816
1.2700775194;-0.4818984324;-0.4995908838;-0.4817612816
1.2800769231;-0.4995908838;-0.4817612816;-0.4817612816
1.2900763359;-0.4994558110;-0.4817612816;-0.4818963543
1.3000757576;-0.4818953387;-0.4817612816;-0.4994568266
1.3100751880;-0.4995908838;-0.4817612816;-0.4817612816
1.3200746269;-0.4995908838;-0.4817612816;-0.4817612816
1.3300740741;-0.4995908838;-0.4817612816;-0.4818923816
1.3400735294;-0.4994607407;-0.4817612816;-0.4994607407
1.3500729927;-0.4817612816;-0.4817612816;-0.4818904816
1.3600724638;-0.4818895521;-0.4817612816;-0.4995908838
1.3700719424;-0.4994635295;-0.4817612816;-0.4994635295
1.3800714286;-0.4817612816;-0.4995908838;-0.4817612816
1.3900709220;-0.4817612816;-0.4817612816;-0.4818868421
1.4000704225;-0.4818859641;-0.4995908838;-0.4994662012
1.4100699301;-0.4994670671;-0.4817612816;-0.4818850983
1.4200694444;-0.4817612816;-0.4817612816;-0.4995908838
1.4300689655;-0.4817612816;-0.4995908838;-0.4994687632
1.4400684932;-0.4818825714;-0.4995908838;-0.4817612816
1.4500680272;-0.4994704135;-0.4817612816;-0.4817612816
1.4600675676;-0.4817612816;-0.4995908838;-0.4818809433
1.4700671141;-0.4817612816;-0.4817612816;-0.4995908838
1.4800666667;-0.4817612816;-0.4817612816;-0.4995908838
1.4900662252;-0.4817612816;-0.4817612816;-0.4994735837
1.5000657895;-0.4816447482;-0.4817612816;-0.4818778149
1.5100653595;-0.4639316794;-0.4995908838;-0.4995908838
1.5200649351;-0.4639316794;-0.4817612816;-0.4995908838
1.5300645161;-0.4639316794;-0.4817612816;-0.4995908838
1.5400641026;-0.4639316794;-0.4995908838;-0.4995908838
1.5500636943;-0.4639316794;-0.4817612816;-0.4995908838
1.5600632911;-0.4639316794;-0.4817612816;-0.4995908838
1.5700628931;-0.4639316794;-0.4995908838;-0.4995908838
1.5800625000;-0.4640424222;-0.4995908838;-0.4995908838
1.5900621118;-0.4817612816;-0.4995908838;-0.4995908838
1.6000617284;-0.4816518975;-0.4995908838;-0.4995908838
1.6100613497;-0.4640403965;-0.4817612816;-0.4996996008
1.6200609756;-0.4817612816;-0.4817612816;-0.5174204860
1.6300606061;-0.4817612816;-0.4817612816;-0.5173130787
1.6400602410;-0.4817612816;-0.4817612816;-0.4995908838
1.6500598802;-0.4818674102;-0.4995908838;-0.4995908838
1.6600595238;-0.4995908838;-0.4995908838;-0.4995908838
1.6700591716;-0.4994860038;-0.4817612816;-0.4995908838
1.6800588235;-0.4817612816;-0.4995908838;-0.4995908838
1.6900584795;-0.4817612816;-0.4995908838;-0.4995908838
1.7000581395;-0.4817612816;-0.4817612816;-0.4995908838
1.7100578035;-0.4819662195;-0.4817612816;-0.4994884148
1.7200574713;-0.5172167191;-0.4995908838;-0.4817612816
1.7300571429;-0.4817612816;-0.4995908838;-0.4818625861
1.7400568182;-0.4817612816;-0.4995908838;-0.4995908838
1.7500564972;-0.4817612816;-0.4817612816;-0.4995908838
1.7600561798;-0.4818608883;-0.4817612816;-0.4995908838
1.7700558659;-0.4994918304;-0.4995908838;-0.4994918304
1.7800555556;-0.4817612816;-0.4817612816;-0.4818597877
1.7900552486;-0.4818592464;-0.4817612816;-0.4995908838
1.8000549451;-0.4995908838;-0.4817612816;-0.4995908838
1.8100546448;-0.4994939838;-0.4817612816;-0.4995908838
1.8200543478;-0.4817612816;-0.4817612816;-0.4994945075
1.8300540541;-0.4817612816;-0.4995908838;-0.4818571396
1.8400537634;-0.4817612816;-0.4817612816;-0.4995908838
1.8500534759;-0.4818561199;-0.4995908838;-0.4995908838
1.8600531915;-0.4995908838;-0.4817612816;-0.4995908838
1.8700529101;-0.4995908838;-0.4995908838;-0.4995908838
1.8800526316;-0.4994975351;-0.4995908838;-0.4995908838
1.8900523560;-0.4817612816;-0.4995908838;-0.4995908838
1.9000520833;-0.4817612816;-0.4817612816;-0.4995908838
1.9100518135;-0.4815774712;-0.4995908838;-0.4995908838
1.9200515464;-0.4461020772;-0.4817612816;-0.4995908838
1.9300512821;-0.4461020772;-0.4995908838;-0.4995908838
1.9400510204;-0.4461020772;-0.4995908838;-0.4995908838
1.9500507614;-0.4461921257;-0.4995908838;-0.4995908838
1.9600505051;-0.4639316794;-0.4995908838;-0.4995908838
1.9700502513;-0.4817612816;-0.4817612816;-0.4995908838
1.9800500000;-0.4817612816;-0.4817612816;-0.4995908838
1.9900497512;-0.4818495469;-0.4817612816;-0.4995908838
2.0000495050;-0.4821108816;-0.4817612816;-0.4995908838
2.0001960784;-0.4997656838;-0.4817612816;-0.4995908838
2.0100980392;-0.5175944333;-0.4817612816;-0.4995908838
2.0300487805;-0.5530796903;-0.4817612816;-0.4995908838
2.0400485437;-0.5531658237;-0.4817612816;-0.4995908838
2.0500483092;-0.5709092925;-0.4817612816;-0.4995908838
2.0600480769;-0.5709946016;-0.4995908838;-0.4995908838
2.0700478469;-0.5886539919;-0.5174204860;-0.4995908838
2.0800476190;-0.5709937930;-0.5174204860;-0.4995908838
2.0900473934;-0.5887388947;-0.4995908838;-0.4995908838
2.1000471698;-0.5887388947;-0.4995908838;-0.4995908838
2.1100469484;-0.5887388947;-0.4995908838;-0.4995908838
2.1200467290;-0.5887388947;-0.4995908838;-0.4995908838
2.1300465116;-0.5887388947;-0.4995908838;-0.4995908838
2.1400462963;-0.5887388947;-0.4995908838;-0.4995908838
2.1401834862;-0.5887388947;-0.4995908838;-0.4995908838
2.1500917431;-0.5887388947;-0.4817612816;-0.4995908838
2.1700456621;-0.5887388947;-0.4995908838;-0.4995908838
2.1800454545;-0.5887388947;-0.4817612816;-0.4995908838
2.1900452489;-0.5886585812;-0.4639316794;-0.4995908838
2.2000450450;-0.5709092925;-0.4639316794;-0.4995908838
2.2100448430;-0.5709092925;-0.4639316794;-0.4995908838
2.2200446429;-0.5709092925;-0.4639316794;-0.4995908838
2.2300444444;-0.5709881846;-0.4817612816;-0.4995908838
2.2400442478;-0.5887388947;-0.4995908838;-0.4995908838
2.2500440529;-0.5886606947;-0.4817612816;-0.4995908838
2.2600438596;-0.5709871511;-0.4995908838;-0.4995130252
2.2700436681;-0.5887388947;-0.5174204860;-0.4818388016
2.2800434783;-0.5887388947;-0.5174204860;-0.4995908838
2.2900432900;-0.5888157465;-0.4995908838;-0.4995140320
2.3000431034;-0.6064919750;-0.5352500881;-0.4818378035
2.3100429185;-0.5887388947;-0.4995908838;-0.4995908838
2.3200427350;-0.5888147654;-0.4817612816;-0.4995908838
2.3300425532;-0.6065684969;-0.4817612816;-0.4995908838
2.3400423729;-0.6069446489;-0.4639316794;-0.4995156534
2.3500421941;-0.6957165079;-0.4639316794;-0.4818361959
2.3600420168;-0.6957911087;-0.4639316794;-0.4995908838
2.3700418410;-0.7134718201;-0.4639316794;-0.4995908838
2.3800416667;-0.6954945626;-0.4639316794;-0.4995908838
2.3900414938;-0.6421540253;-0.4639316794;-0.4995172077
2.4000413223;-0.6243247263;-0.4817612816;-0.4818346544
2.4100411523;-0.6064954248;-0.4817612816;-0.4995908838
2.4200409836;-0.5887388947;-0.4817612816;-0.4995908838
2.4300408163;-0.5887388947;-0.4817612816;-0.4995908838
2.4400406504;-0.5887388947;-0.4817612816;-0.4995908838
2.4500404858;-0.5887388947;-0.4817612816;-0.4995908838
2.4600403226;-0.5886672899;-0.4639316794;-0.4995908838
2.4700401606;-0.5708379741;-0.4817612816;-0.4995908838
2.4800400000;-0.5530086561;-0.4639316794;-0.4995908838
2.4900398406;-0.5352500881;-0.4461020772;-0.4995908838
2.5000396825;-0.5353910336;-0.4639316794;-0.4996613565
2.5100395257;-0.5711198784;-0.4817612816;-0.5174204860
2.5200393701;-0.6246777791;-0.4817612816;-0.5173505659
2.5300392157;-0.6957861548;-0.4995908838;-0.4996605306
2.5400390625;-0.7136154860;-0.4995908838;-0.5174204860
2.5500389105;-0.7313757123;-0.5174204860;-0.5174204860
2.5600387597;-0.7313068721;-0.5174204860;-0.5173516458
2.5700386100;-0.7134089593;-0.5887388947;-0.4996594592
2.5800384615;-0.6776819677;-0.6065684969;-0.5173521733
2.5900383142;-0.6243300472;-0.6422277013;-0.4995908838
2.6000381679;-0.6065684969;-0.6422277013;-0.4995908838
2.6100380228;-0.6066360333;-0.6600573035;-0.4994558110
2.6200378788;-0.6245326621;-0.6422277013;-0.4639316794
2.6300377358;-0.6603254178;-0.6422277013;-0.4639316794
2.6400375940;-0.7311753797;-0.6422277013;-0.4638649018
2.6500374532;-0.6778869057;-0.6422277013;-0.4461020772
2.6600373134;-0.6777543436;-0.6243980991;-0.4461683582
2.6700371747;-0.6421616657;-0.6065684969;-0.4639316794
2.6800370370;-0.6244638910;-0.5887388947;-0.4638658875
2.6900369004;-0.6422277013;-0.6243980991;-0.4461676272
2.7000367647;-0.6422930112;-0.5530796903;-0.4639316794
2.7100366300;-0.6601874466;-0.5530796903;-0.4639967509
2.7200364964;-0.6958461777;-0.5352500881;-0.4817612816
2.7300363636;-0.7313111123;-0.5174204860;-0.4817612816
2.7400362319;-0.7135461101;-0.4461020772;-0.4816969148
2.7500361011;-0.7135461101;-0.3926132706;-0.4639958146
2.7600359712;-0.7135461101;-0.3569540662;-0.4817612816
2.7700358423;-0.7138008187;-0.3391244640;-0.4817612816
2.7800357143;-0.7849279694;-0.4639316794;-0.4817612816
2.7900355872;-0.8030734743;-0.4104428728;-0.4817612816
2.8000354610;-0.9095457299;-0.4104428728;-0.4818242837
2.8100353357;-0.8740753101;-0.4461020772;-0.4995908838
2.8200352113;-0.8917170120;-0.4817612816;-0.4996534438
2.8300350877;-0.8561205863;-0.5174204860;-0.5175451685
2.8400349650;-0.8382912014;-0.5352500881;-0.5530796903
2.8500348432;-0.8205237232;-0.5709092925;-0.5531415987
2.8600347222;-0.8204620291;-0.5709092925;-0.5709092925
2.8700346021;-0.8026326396;-0.5887388947;-0.5709092925
2.8800344828;-0.7848032487;-0.5709092925;-0.5708480224
2.8900343643;-0.7671570372;-0.5530796903;-0.5530796903
2.9000342466;-0.8028158248;-0.5352500881;-0.5530796903
2.9100341297;-0.8384746152;-0.5174204860;-0.5530190454
2.9200340136;-0.8751608771;-0.4995908838;-0.5352500881
2.9300338983;-1.2121726200;-0.4817612816;-0.5352500881
2.9400337838;-1.0345990142;-0.4817612816;-0.5353101205
2.9500336700;-1.0702578157;-0.4639316794;-0.5530796903
2.9600335570;-1.1057973583;-0.4639316794;-0.5530796903
2.9700334448;-1.1057973583;-0.4817612816;-0.5530796903
2.9800333333;-1.1057973583;-0.4995908838;-0.5530796903
2.9900332226;-1.1058563967;-0.5174204860;-0.5530796903
3.0000331126;-1.1236269605;-0.5352500881;-0.5530796903
3.0100330033;-1.1235096605;-0.5530796903;-0.5530796903
3.0200328947;-1.0877923830;-0.5887388947;-0.5531381481
3.0300327869;-1.0344206829;-0.6243980991;-0.5709092925
3.0400326797;-1.0167655011;-0.6243980991;-0.5709092925
3.0500325733;-1.0524243284;-0.6422277013;-0.5716039524
3.0600324675;-1.0879677561;-0.6243980991;-0.7845760140
3.0700323625;-1.0879102413;-0.6243980991;-0.6956014782
3.0800322581;-1.0701954838;-0.5887388947;-0.6604586129
3.0900321543;-1.0880820484;-0.5530796903;-0.7848645188
3.1000320513;-1.1236269605;-0.5352500881;-0.7848075553
3.1100319489;-1.1235133961;-0.4995908838;-0.7669213523
3.1200318471;-1.0879111542;-0.4817612816;-0.7313757123
3.1300317460;-1.0691225437;-0.4817612816;-0.7312628667
3.1400316456;-0.7500489865;-0.4817612816;-0.6956040183
3.1500315457;-1.0172100267;-0.4282724750;-0.6600012356
3.1600314465;-1.1950571536;-0.3212948618;-0.6421159170
3.1700313480;-1.2308274437;-0.2321468509;-0.6065127794
3.1800312500;-1.3019785263;-0.4817612816;-0.5886833508
3.1900311526;-1.3198079560;-0.4817612816;-0.5708539211
3.2000310559;-1.3376373868;-0.3747836684;-0.5530244903
3.2100309598;-1.3555218483;-0.3926132706;-0.5351950585
3.2200308642;-1.3912355743;-0.4104428728;-0.5174204860
3.2300307692;-1.4448332601;-0.4817612816;-0.5173657939
3.2400306748;-1.5337623357;-0.4995908838;-0.4996454085
3.2500305810;-1.5513743375;-0.3569540662;-0.5174204860
3.2600304878;-1.4978860266;-0.4639316794;-0.5175830659
3.2700303951;-1.4445598000;-0.1073396355;-0.5709633216
3.2800303030;-1.4446675317;-0.4817612816;-0.5889004923
3.2900302115;-1.4803801152;-0.6065684969;-0.6423888122
3.3000301205;-1.5338684380;-0.5174204860;-0.6958771349
3.3100300300;-1.5873033816;-0.4995908838;-0.7494188426
3.3200299401;-1.6228025992;-0.1251692377;-0.8206833913
3.3300298507;-1.6048670268;-0.0716804311;-0.8741186584
3.3400297619;-1.5514315994;-1.2662637780;-0.9098304547
3.3500296736;-1.5158254584;-0.6957165079;-0.9633187917
3.3600295858;-1.4981012012;-0.4282724750;-1.0167019420
3.3700294985;-1.5159306487;-0.4639316794;-1.0344789495
3.3800294118;-1.5337600971;-0.6065684969;-1.0343743771
3.3900293255;-1.5516938131;-0.6422277013;-0.9986112118
3.4000292398;-1.6051821637;-0.6600573035;-0.9273453923
3.4100291545;-1.6585668565;-0.1786580443;-0.8738052088
3.4200290698;-1.6761895884;-0.1073396355;-0.8024874010
3.4300289855;-1.6231134751;-0.2856356575;-0.7311180591
3.4400289017;-1.7121579793;-0.7848645188;-0.6420221727
3.4500288184;-1.7651852325;-0.5530796903;-0.5708068236
3.4600287356;-1.6586172016;-0.6422277013;-0.5353522635
3.4700286533;-1.6941232889;-0.7135461101;-0.5708074091
3.4800285714;-1.6769033909;-0.7492053145;-0.5350469018
3.4900284900;-1.8728754708;-0.6957165079;-0.4636784180
3.5000284091;-2.0153596140;-0.6778869057;-0.3746321421
3.5100283286;-2.1043054472;-0.6600573035;-0.3210933974
3.5200282486;-2.1218335621;-0.6600573035;-0.2495746592
3.5300281690;-2.0328865891;-0.6422277013;-0.1067887209
3.5400280899;-2.0327374589;-0.6600573035;-0.1051482878
3.5401117318;-2.0153062835;-0.6600573035;0.0895828423
3.5500558659;-2.1221840125;-0.6778869057;0.3206701463
3.5700278552;-2.1579915210;-0.7135461101;0.3560319148
3.5800277778;-2.2469906776;-0.7313757123;0.2843683284
3.5900277008;-2.2827481152;-0.7313757123;0.0881456990
3.6000276243;-2.2833348218;-0.7135461101;0.0862389026
3.6001098901;-2.3536735821;-0.6957165079;-0.1448601720
3.6100549451;-2.2289157517;-0.7135461101;-0.6247888849
3.6300273973;-2.1755734898;-0.7313757123;-0.7672297757
3.6400273224;-2.1756220719;-0.7492053145;-0.8386448176
3.6500272480;-2.1934515420;-0.7670349166;-0.9452824886
3.6600271739;-2.2110394194;-0.7313757123;-0.9272114241
3.6700271003;-2.1397697211;-0.6957165079;-0.8201382183
3.6800270270;-2.0865696536;-0.7313757123;-0.6770699158
3.6900269542;-2.1392912080;-0.6957165079;-0.3747836684
3.7000268817;-1.9078904542;-0.6243980991;-0.3745924662
3.7100268097;-1.8205069735;-0.4817612816;-0.3034652596
3.7200267380;-2.3897664442;-0.3926132706;-0.3036078965
3.7300266667;-2.4784396313;-0.0538508290;-0.3570963237
3.7400265957;-2.3893868360;-0.0538508290;-0.4105374596
3.7500265252;-2.3362757509;0.1066155908;-0.4458662359
3.7600264550;-2.4253290519;-0.1251692377;-0.3563424968
3.7700263852;-2.4789582471;-0.3569540662;-0.1246061977
3.7800263158;-2.5858883245;-0.5174204860;0.0891135666
3.7900262467;-2.6747556769;-0.6957165079;0.2135932039
3.8000261780;-2.6568330916;-0.8561829276;0.2135000990
3.8100261097;-2.6026481798;-1.0523085517;0.1777018433
3.8200260417;-2.2820416858;-1.3732413912;0.0886470566
3.8300259740;-2.0859173814;-1.6228558219;0.0352509913
3.8400259067;-1.8901155695;-1.8724702526;0.0172832945
3.8500258398;-1.8189814460;-1.9972774679;-0.0543563074
3.8600257732;-1.8189356115;-2.0864254789;-0.2504347976
3.8700257069;-1.8008775422;-2.1934030920;-0.4292325305
3.8800256410;-1.6937638306;-2.3182103074;-0.8035149211
3.8900255754;-1.5335258762;-2.3895287161;-1.1240817973
3.9000255102;-1.4625708739;-2.3895287161;-1.3026942375
3.9100254453;-1.5340698333;-2.3182103074;-1.6048904613
3.9200253807;-1.6767508726;-2.2468918986;-1.5513568602
3.9300253165;-1.8372612907;-2.0864254789;-1.4798588104
3.9400252525;-2.0156010893;-1.9972774679;-1.3373127218
3.9500251889;-2.2117254722;-1.9081294570;-1.2305149777
3.9600251256;-2.4078498613;-1.9259590591;-1.1949453693
3.9700250627;-2.6037513865;-1.9616182635;-1.1951236653
3.9800250000;-2.7104170928;-1.9437886613;-1.2662193152
3.9900249377;-2.6926763057;-1.8368110482;-1.2485672326
4.0000248756;-2.7104615556;-1.7654926394;-1.3021884356
4.0100248139;-2.7105498210;-0.6422277013;-1.4090329936
4.0200247525;-2.7459886889;-1.4802190043;-1.4623894021
4.0300246914;-2.6925441229;-2.0329366723;-1.4625650633
4.0400246305;-2.6568413269;-2.1755734898;-1.5340144626
4.0500245700;-2.6033965424;-2.3716991140;-1.6588646263
4.0600245098;-2.5677375517;-2.3716991140;-1.8014134028
4.0700244499;-2.5320350732;-2.3360399096;-1.9083034043
4.0800243902;-2.4785465840;-2.2468918986;-1.9795346278
4.0900243309;-2.4250580933;-2.0685958767;-2.0151503458
4.1000242718;-2.3715264302;-1.9794478657;-2.0329798432
4.1100242131;-2.3003376385;-1.8902998548;-2.0508954745
4.1200241546;-2.2825081401;-1.7476630372;-2.1043839698
4.1300240964;-2.2648072200;-1.6228558219;-2.1578296069
4.1400240385;-2.3004234620;-1.5871966175;-2.1935313625
4.1500239808;-2.3182103074;-1.5337078109;-2.2470198623
4.1600239234;-2.3180400964;-1.4980486065;-2.3005083634
4.1700238663;-2.2464673843;-1.4267301978;-2.3540393175
4.1800238095;-2.0685111755;-1.4089005956;-2.4252302711
4.1900237530;-2.0330634230;-1.4089005956;-2.4431442734
4.2000236967;-2.0865097796;-1.4445598000;-2.4965906300
4.2100236407;-2.1222108361;-1.7120038328;-2.5321234827
4.2200235849;-2.1755734898;-2.1755734898;-2.5143359315
4.2300235294;-2.1754897828;-2.4251879205;-2.5142522244
4.2400234742;-2.1399977965;-2.5143359315;-2.4785097051
4.2500234192;-2.1756151478;-2.6926319534;-2.4071500286
4.2600233645;-2.1934446529;-2.9779055885;-2.3179193815
4.2700233100;-2.2114400152;-3.1740312126;-2.1934860204
4.2800232558;-2.3003807052;-3.4058160411;-2.2293518723
4.2900232019;-2.3002156163;-3.5306232565;-2.3540758729
4.3000231481;-2.2288152350;-3.6376008696;-2.4431410535
4.3100230947;-2.1217149450;-3.7802376871;-2.4967117395
4.3200230415;-1.9612493752;-3.9228745047;-2.5861052038
4.3300229885;-1.8009473759;-3.9585337091;-2.7819844323
4.3400229358;-1.7118406328;-3.9228745047;-2.8712135754
4.3500228833;-1.6405633035;-3.8515560959;-2.9958573112
4.3600228311;-1.5871560034;-3.7624080850;-3.0491833831
4.3700227790;-1.5691644062;-3.7089192784;-3.0312323078
4.3800227273;-1.4800168547;-3.6019416652;-2.9599142666
4.3900226757;-1.3909499780;-3.5306232565;-2.8886769006
4.4000226244;-1.3375821868;-3.4771344499;-2.8529373835
4.4100225734;-1.3379034409;-3.5127936543;-2.7817799644
4.4200225225;-1.4790971417;-3.5841120630;-2.7816998313
4.4300224719;-0.9829490006;-3.6019416652;-2.7460408066
4.4400224215;-1.8551192974;-3.6197712674;-2.7103817811
